GISJOIN,COUNTY,COUNTYA,TRACTA,BLKGRPA,NAME_E,AHZAE001,AHZAE002,AHZAE003,AHZAE004,AHZAE005,AHZAE006,AHZAE007,AHZAE008,AHZAE009,AHZAE010,AHZAE011,AHZAE012,AHZAE013,AHZAE014,AHZAE015,AHZAE016,AHZAE017,AHZAE018,AHZAE019,AHZAE020,AHZAE021,AH1PE001
GIS Join Match Code,County Name,County Code,Census Tract Code,Block Group Code,Estimates: Area Name,Estimates: Total,Estimates: Not Hispanic or Latino,Estimates: Not Hispanic or Latino: White alone,Estimates: Not Hispanic or Latino: Black or African American alone,Estimates: Not Hispanic or Latino: American Indian and Alaska Native alone,Estimates: Not Hispanic or Latino: Asian alone,Estimates: Not Hispanic or Latino: Native Hawaiian and Other Pacific Islander alone,Estimates: Not Hispanic or Latino: Some other race alone,Estimates: Not Hispanic or Latino: Two or more races,Estimates: Not Hispanic or Latino: Two or more races: Two races including Some other race,"Estimates: Not Hispanic or Latino: Two or more races: Two races excluding Some other race, and three or more races",Estimates: Hispanic or Latino,Estimates: Hispanic or Latino: White alone,Estimates: Hispanic or Latino: Black or African American alone,Estimates: Hispanic or Latino: American Indian and Alaska Native alone,Estimates: Hispanic or Latino: Asian alone,Estimates: Hispanic or Latino: Native Hawaiian and Other Pacific Islander alone,Estimates: Hispanic or Latino: Some other race alone,Estimates: Hispanic or Latino: Two or more races,Estimates: Hispanic or Latino: Two or more races: Two races including Some other race,"Estimates: Hispanic or Latino: Two or more races: Two races excluding Some other race, and three or more races",Estimates: Median household income in the past 12 months (in 2017 inflation-adjusted dollars)
G06000104001001,Alameda County,1,400100,1,"Block Group 1, Census Tract 4001, Alameda County, California",2991,2878,2070,84,0,484,0,77,163,17,146,113,62,0,0,7,0,44,0,0,0,208393
G06000104002001,Alameda County,1,400200,1,"Block Group 1, Census Tract 4002, Alameda County, California",1102,990,777,8,5,52,0,5,143,0,143,112,75,0,0,0,0,3,34,0,34,169167
G06000104002002,Alameda County,1,400200,2,"Block Group 2, Census Tract 4002, Alameda County, California",895,830,647,10,0,144,0,0,29,0,29,65,33,0,0,7,0,6,19,0,19,119722
G06000104003001,Alameda County,1,400300,1,"Block Group 1, Census Tract 4003, Alameda County, California",1336,1264,902,65,0,131,0,0,166,0,166,72,35,0,0,0,0,37,0,0,0,142569
G06000104003002,Alameda County,1,400300,2,"Block Group 2, Census Tract 4003, Alameda County, California",1369,1280,942,70,0,169,0,0,99,0,99,89,67,0,0,0,0,3,19,19,0,85673
G06000104003003,Alameda County,1,400300,3,"Block Group 3, Census Tract 4003, Alameda County, California",1041,974,615,322,0,19,0,0,18,0,18,67,22,0,0,0,0,29,16,0,16,
G06000104003004,Alameda County,1,400300,4,"Block Group 4, Census Tract 4003, Alameda County, California",1377,1220,972,25,0,181,42,0,0,0,0,157,157,0,0,0,0,0,0,0,0,93833
G06000104004001,Alameda County,1,400400,1,"Block Group 1, Census Tract 4004, Alameda County, California",1510,1319,1144,12,0,151,0,0,12,0,12,191,64,0,0,0,0,123,4,0,4,103654
G06000104004002,Alameda County,1,400400,2,"Block Group 2, Census Tract 4004, Alameda County, California",1071,972,661,108,11,173,0,0,19,0,19,99,32,1,14,0,0,17,35,8,27,86389
G06000104004003,Alameda County,1,400400,3,"Block Group 3, Census Tract 4004, Alameda County, California",1410,1323,820,118,0,160,0,0,225,0,225,87,42,0,0,0,0,16,29,13,16,112500
G06000104005001,Alameda County,1,400500,1,"Block Group 1, Census Tract 4005, Alameda County, California",2570,2311,1389,555,0,183,31,8,145,0,145,259,127,0,0,0,0,30,102,38,64,100568
G06000104005002,Alameda County,1,400500,2,"Block Group 2, Census Tract 4005, Alameda County, California",753,721,431,236,0,0,0,8,46,0,46,32,22,0,0,0,0,10,0,0,0,74702
G06000104005003,Alameda County,1,400500,3,"Block Group 3, Census Tract 4005, Alameda County, California",621,505,285,160,0,37,0,0,23,17,6,116,80,0,0,0,0,20,16,16,0,80804
G06000104006001,Alameda County,1,400600,1,"Block Group 1, Census Tract 4006, Alameda County, California",980,900,398,242,4,116,0,14,126,0,126,80,42,15,0,15,0,0,8,0,8,77857
G06000104006002,Alameda County,1,400600,2,"Block Group 2, Census Tract 4006, Alameda County, California",655,595,331,160,0,42,0,0,62,8,54,60,30,0,0,8,0,5,17,17,0,106094
G06000104007001,Alameda County,1,400700,1,"Block Group 1, Census Tract 4007, Alameda County, California",1050,893,337,386,0,105,0,0,65,0,65,157,95,9,18,0,0,19,16,8,8,64306
G06000104007002,Alameda County,1,400700,2,"Block Group 2, Census Tract 4007, Alameda County, California",1699,1624,719,839,4,0,0,0,62,0,62,75,59,0,0,0,0,0,16,16,0,48403
G06000104007003,Alameda County,1,400700,3,"Block Group 3, Census Tract 4007, Alameda County, California",1057,556,268,171,0,65,0,0,52,0,52,501,33,0,0,0,0,412,56,56,0,73056
G06000104007004,Alameda County,1,400700,4,"Block Group 4, Census Tract 4007, Alameda County, California",1031,907,492,283,57,30,0,0,45,0,45,124,77,0,0,0,0,15,32,0,32,40875
G06000104008001,Alameda County,1,400800,1,"Block Group 1, Census Tract 4008, Alameda County, California",1611,1487,526,609,9,253,0,0,90,48,42,124,15,15,0,0,0,41,53,30,23,65481
G06000104008002,Alameda County,1,400800,2,"Block Group 2, Census Tract 4008, Alameda County, California",1029,782,361,311,0,62,0,0,48,0,48,247,132,0,0,0,0,115,0,0,0,66806
G06000104008003,Alameda County,1,400800,3,"Block Group 3, Census Tract 4008, Alameda County, California",1156,1106,570,297,0,186,0,0,53,0,53,50,19,0,0,0,0,0,31,20,11,59539
G06000104009001,Alameda County,1,400900,1,"Block Group 1, Census Tract 4009, Alameda County, California",1319,1132,425,543,9,57,0,37,61,6,55,187,97,10,0,0,0,80,0,0,0,51111
G06000104009002,Alameda County,1,400900,2,"Block Group 2, Census Tract 4009, Alameda County, California",1075,973,594,232,0,90,0,25,32,0,32,102,42,0,0,0,0,49,11,0,11,85833
G06000104010001,Alameda County,1,401000,1,"Block Group 1, Census Tract 4010, Alameda County, California",1514,1276,151,949,0,11,0,22,143,75,68,238,225,0,0,0,0,13,0,0,0,
G06000104010002,Alameda County,1,401000,2,"Block Group 2, Census Tract 4010, Alameda County, California",1067,795,290,297,0,23,85,0,100,0,100,272,28,30,0,0,0,124,90,51,39,62218
G06000104010003,Alameda County,1,401000,3,"Block Group 3, Census Tract 4010, Alameda County, California",1528,1202,602,470,0,46,0,20,64,0,64,326,41,0,0,0,0,83,202,29,173,77625
G06000104010004,Alameda County,1,401000,4,"Block Group 4, Census Tract 4010, Alameda County, California",610,445,171,133,8,40,0,0,93,0,93,165,31,0,0,0,0,122,12,12,0,82054
G06000104010005,Alameda County,1,401000,5,"Block Group 5, Census Tract 4010, Alameda County, California",698,555,221,305,0,22,0,0,7,6,1,143,28,0,0,0,0,108,7,0,7,
G06000104010006,Alameda County,1,401000,6,"Block Group 6, Census Tract 4010, Alameda County, California",830,737,394,132,0,44,0,0,167,0,167,93,0,78,0,0,0,7,8,8,0,
G06000104011001,Alameda County,1,401100,1,"Block Group 1, Census Tract 4011, Alameda County, California",515,515,254,105,0,81,0,0,75,0,75,0,0,0,0,0,0,0,0,0,0,111652
G06000104011002,Alameda County,1,401100,2,"Block Group 2, Census Tract 4011, Alameda County, California",1301,1047,791,14,0,143,0,0,99,0,99,254,62,42,0,0,0,136,14,14,0,68482
G06000104011003,Alameda County,1,401100,3,"Block Group 3, Census Tract 4011, Alameda County, California",1136,1104,467,227,0,374,0,14,22,0,22,32,18,0,0,0,0,0,14,0,14,75167
G06000104011004,Alameda County,1,401100,4,"Block Group 4, Census Tract 4011, Alameda County, California",1253,1103,611,298,0,90,0,0,104,0,104,150,148,0,0,0,0,2,0,0,0,89688
G06000104012001,Alameda County,1,401200,1,"Block Group 1, Census Tract 4012, Alameda County, California",1140,817,599,130,0,52,0,0,36,0,36,323,129,0,9,0,0,92,93,80,13,91250
G06000104012002,Alameda County,1,401200,2,"Block Group 2, Census Tract 4012, Alameda County, California",882,774,431,171,0,115,0,0,57,0,57,108,45,13,6,0,0,34,10,10,0,123875
G06000104012003,Alameda County,1,401200,3,"Block Group 3, Census Tract 4012, Alameda County, California",579,524,302,129,9,60,0,0,24,0,24,55,9,0,0,0,0,39,7,7,0,58750
G06000104013001,Alameda County,1,401300,1,"Block Group 1, Census Tract 4013, Alameda County, California",1233,1101,402,536,0,133,0,0,30,0,30,132,34,28,8,0,0,21,41,24,17,50313
G06000104013002,Alameda County,1,401300,2,"Block Group 2, Census Tract 4013, Alameda County, California",1734,1443,472,557,27,313,0,0,74,0,74,291,46,0,0,0,0,156,89,64,25,29375
G06000104013003,Alameda County,1,401300,3,"Block Group 3, Census Tract 4013, Alameda County, California",1087,964,526,226,0,174,0,0,38,0,38,123,105,0,0,0,0,18,0,0,0,70833
G06000104014001,Alameda County,1,401400,1,"Block Group 1, Census Tract 4014, Alameda County, California",1137,786,181,486,17,23,0,0,79,8,71,351,148,0,0,0,0,203,0,0,0,23266
G06000104014002,Alameda County,1,401400,2,"Block Group 2, Census Tract 4014, Alameda County, California",1647,1334,491,484,0,137,40,25,157,0,157,313,159,0,14,11,0,94,35,10,25,32917
G06000104014003,Alameda County,1,401400,3,"Block Group 3, Census Tract 4014, Alameda County, California",1229,953,217,539,41,75,0,0,81,0,81,276,131,0,0,0,0,145,0,0,0,31392
G06000104015001,Alameda County,1,401500,1,"Block Group 1, Census Tract 4015, Alameda County, California",1163,1085,355,557,4,72,23,0,74,0,74,78,51,6,0,0,0,21,0,0,0,
